2026-06-02 14:24:15 | ACTION=BUY | TICKER=XACT-OBLIGATION.ST | AMOUNT=10000.00 SEK | PRICE=0.0000 | MODE=PAPER | ALGO=dual_momentum | RESULT=REJECTED | No asset beats 7% threshold; safe haven
2026-06-02 14:29:38 | ACTION=BUY | TICKER=XACT-OBLIGATION.ST | AMOUNT=10000.00 SEK | PRICE=106.9500 | MODE=PAPER | ALGO=dual_momentum | RESULT=FILLED | No asset beats 7% threshold; safe haven
2026-07-01 09:00:56 | ACTION=BUY | TICKER=XACT-OBLIGATION.ST | AMOUNT=5000.83 SEK | PRICE=107.6500 | MODE=REAL | ALGO=dual_momentum | RESULT=FILLED | No asset beats 7% threshold
2026-07-01 14:01:23 | ACTION=BUY | TICKER=XACT-OBLIGATION.ST | AMOUNT=5000.83 SEK | PRICE=107.6100 | MODE=REAL | ALGO=dual_momentum | RESULT=FILLED | No asset beats 7% threshold
2026-07-06 09:01:04 | ACTION=BUY | TICKER=BOL.ST | AMOUNT=526.40 SEK | PRICE=526.4000 | MODE=REAL | ALGO=mean_reversion | RESULT=FILLED | RSI 13.2 < 20 (oversold)
2026-07-06 14:01:04 | ACTION=SELL | TICKER=BOL.ST | AMOUNT=0.00 SEK | PRICE=0.0000 | MODE=REAL | ALGO=mean_reversion | RESULT=REJECTED | Max hold 5d reached
2026-07-06 15:01:06 | ACTION=BUY | TICKER=BOL.ST | AMOUNT=526.40 SEK | PRICE=526.4000 | MODE=REAL | ALGO=mean_reversion | RESULT=FILLED | RSI 13.2 < 20 (oversold)
2026-07-07 11:00:32 | ACTION=SELL | TICKER=BOL.ST | AMOUNT=0.00 SEK | PRICE=0.0000 | MODE=REAL | ALGO=mean_reversion | RESULT=REJECTED | Max hold 5d reached
2026-07-07 12:00:29 | ACTION=BUY | TICKER=BOL.ST | AMOUNT=532.00 SEK | PRICE=532.0000 | MODE=REAL | ALGO=mean_reversion | RESULT=FILLED | RSI 13.2 < 20 (oversold)
2026-07-07 13:49:35 | ACTION=BUY | TICKER=SINCH.ST | AMOUNT=501.28 SEK | PRICE=38.5600 | MODE=REAL | ALGO=mean_reversion | RESULT=FILLED | RSI 0.0 < 20 (oversold)
2026-07-07 13:49:35 | ACTION=BUY | TICKER=EVO.ST | AMOUNT=0.00 SEK | PRICE=668.2000 | MODE=REAL | ALGO=mean_reversion | RESULT=REJECTED | RSI 0.0 < 20 (oversold)
2026-07-07 13:49:35 | ACTION=BUY | TICKER=HM-B.ST | AMOUNT=497.70 SEK | PRICE=165.9000 | MODE=REAL | ALGO=mean_reversion | RESULT=FILLED | RSI 0.0 < 20 (oversold)
2026-07-07 13:49:36 | ACTION=BUY | TICKER=ESSITY-B.ST | AMOUNT=280.90 SEK | PRICE=280.9000 | MODE=REAL | ALGO=mean_reversion | RESULT=FILLED | RSI 0.0 < 20 (oversold)
2026-07-07 13:49:36 | ACTION=BUY | TICKER=AZN.ST | AMOUNT=0.00 SEK | PRICE=1849.0000 | MODE=REAL | ALGO=mean_reversion | RESULT=REJECTED | RSI 0.0 < 20 (oversold)
2026-07-07 13:49:36 | ACTION=BUY | TICKER=TELIA.ST | AMOUNT=496.10 SEK | PRICE=45.1000 | MODE=REAL | ALGO=mean_reversion | RESULT=FILLED | RSI 16.9 < 20 (oversold)
2026-07-08 09:01:01 | ACTION=BUY | TICKER=EVO.ST | AMOUNT=0.00 SEK | PRICE=670.4000 | MODE=REAL | ALGO=mean_reversion | RESULT=REJECTED | RSI 0.0 < 12 (oversold, uptrend)
2026-07-08 09:01:01 | ACTION=BUY | TICKER=AZN.ST | AMOUNT=0.00 SEK | PRICE=1845.0000 | MODE=REAL | ALGO=mean_reversion | RESULT=REJECTED | RSI 0.0 < 12 (oversold, uptrend)
2026-07-08 09:15:51 | ACTION=BUY | TICKER=EVO.ST | AMOUNT=1336.80 SEK | PRICE=668.4000 | MODE=REAL | ALGO=mean_reversion | RESULT=FILLED | RSI 0.0 < 12 (oversold, uptrend)
2026-07-08 09:15:51 | ACTION=BUY | TICKER=AZN.ST | AMOUNT=0.00 SEK | PRICE=1839.0000 | MODE=REAL | ALGO=mean_reversion | RESULT=REJECTED | RSI 0.0 < 12 (oversold, uptrend)
